late_payments_90d,credit_history_years,oldest_account_age,open_credit_accounts,hard_inquiries_last_6m,debt_to_income,loan_to_income,delinquencies_last_12m,delinquency_ratio,utilization_to_income,default
2,13,24,7,1,0.34120014583714675,0.3039838034564615,1,0.14285714285714285,6.552871242355403e-06,0
0,1,14,6,4,0.13154619985598834,0.18338260385612157,2,0.3333333333333333,8.052077586106297e-06,1
2,1,15,3,4,0.35346631113676935,0.5815556137604913,3,1.0,1.555853882329249e-05,1
0,3,6,5,4,0.1163250293764126,0.2890487652408425,2,0.4,6.571638103256921e-06,1
0,2,4,3,5,0.209981406031271,0.021314832646735747,3,1.0,9.185406547371459e-06,1
1,8,5,4,0,0.4368137675190507,0.19760361597122877,1,0.25,9.082401936709849e-06,0
0,18,9,11,3,0.28533866505221045,0.3811004124781869,1,0.09090909090909091,6.618156199119273e-06,0
0,12,5,3,3,0.24731876889541385,0.4344482144070414,1,0.3333333333333333,1.4295761083420714e-05,0
2,16,12,11,0,0.20973252773161002,0.17222283422978962,2,0.18181818181818182,1.0617595371108488e-05,1
1,6,16,3,1,0.15837555743490583,0.18183188116905516,2,0.6666666666666666,5.5843242585740535e-06,0
2,6,16,5,1,0.18421729978993898,0.23089530704968406,2,0.4,1.215836965401794e-05,1
2,18,6,9,0,0.4717916139899107,0.48129010243609827,0,0.0,6.093509224632168e-06,0
3,18,10,9,2,0.26180416814754126,0.2726010034026096,1,0.1111111111111111,6.429865543136339e-06,1
2,7,2,2,3,0.4757627035684077,0.28728918051049535,0,0.0,1.4087314265389081e-05,1
1,18,9,8,1,0.3554982286175353,0.26732883351026376,2,0.25,8.670222429452383e-06,0
1,19,11,8,0,1.0469088952168975,0.7137835820228426,2,0.25,8.722740828140851e-06,0
2,7,18,7,4,0.4582481873591908,0.13832054349905099,1,0.14285714285714285,1.0857709546502053e-05,1
0,2,18,7,2,0.022539094045591773,0.15994528807142402,1,0.14285714285714285,7.109888845021157e-06,0
1,8,18,5,0,0.42934587912158384,0.40666032409599473,0,0.0,9.958677435318769e-06,0
2,16,13,2,3,0.5237713434863827,0.09948751293730312,0,0.0,1.2128414938633164e-05,1
0,17,13,2,4,0.8180268494404693,0.3897425727824111,1,0.5,1.4715282998449292e-05,0
0,12,10,5,3,0.37537811404143634,0.3825407485706444,1,0.2,8.608571757826093e-07,0
1,8,6,4,3,0.028787648183221402,0.30279399813427277,0,0.0,6.607224001909386e-06,0
3,14,23,7,1,0.4511139366408216,0.39775210001831707,2,0.2857142857142857,1.599152609823244e-05,1
3,1,20,3,5,0.6258919504389641,0.2218068383280015,3,1.0,7.951649954252288e-06,1
1,14,14,10,5,0.16757634329742838,0.2628019338817628,3,0.3,1.0280999469262295e-05,1
1,4,16,6,4,0.19676645046525534,0.16865165929701417,0,0.0,1.2996369636397515e-05,1
1,3,16,4,2,0.47799202915194433,0.19783715467890023,0,0.0,5.094820469286575e-06,0
1,8,21,4,0,0.5892268159375688,0.11806010851541943,0,0.0,6.325039292052257e-06,0
2,19,13,11,4,0.2021699956097059,0.38102982785992295,1,0.09090909090909091,5.997105297917837e-06,1
0,4,23,9,5,0.1482232760834009,0.4950736982897573,0,0.0,3.4547138994973776e-06,0
1,15,15,5,5,0.3582564020456777,0.2666279464132404,0,0.0,7.36872323152759e-06,1
2,3,15,2,3,0.19213587566644355,0.37517004871344395,2,1.0,1.722015995236207e-05,1
0,16,24,5,2,0.2424699132082363,0.27652084055349047,0,0.0,2.7676229860155017e-06,0
2,5,19,10,1,0.23314808163934586,0.28455793709464405,1,0.1,6.000963437343241e-06,0
1,4,15,6,1,0.5002128861489235,0.37301631920169215,0,0.0,1.8602353307207803e-05,0
0,8,11,7,1,0.6986722569797641,0.8991428473393881,1,0.14285714285714285,3.000459171886496e-05,0
1,13,18,7,1,0.41714644660703154,0.6252705154934661,1,0.14285714285714285,3.084930711060837e-06,0
0,4,16,8,5,0.2899024630378399,0.15121232083053282,1,0.125,5.56695064635482e-06,0
0,19,7,7,1,0.22365259775305574,0.24540464259782815,0,0.0,5.2154168214606055e-06,0
2,4,12,9,5,0.8781103206426719,0.6237184336419732,0,0.0,1.6972250352032758e-05,1
0,7,21,5,5,0.03675929299444016,0.13777838999225395,2,0.4,5.079168341049807e-06,1
0,5,2,8,4,0.3478306544953073,0.4782037036133665,0,0.0,6.773271814345172e-06,0
0,9,2,6,3,0.25972355699339356,0.2700055097373939,0,0.0,1.4215076265438696e-05,0
1,7,18,7,0,0.5195323082672623,0.5696192223994736,1,0.14285714285714285,1.132747579800778e-05,0
1,2,7,6,4,0.4169130799961485,0.4692022467815961,3,0.5,3.207786156956579e-05,1
3,10,17,10,1,1.0419970002602263,0.8104627492212811,0,0.0,1.2518978060760094e-05,0
0,15,9,3,4,0.5096358562838876,0.3423094917626857,2,0.6666666666666666,1.766213257489771e-05,1
0,1,24,3,3,0.8962997406236662,0.9530554949930979,2,0.6666666666666666,1.726552525030751e-05,0
2,2,3,5,2,0.3873364370566612,0.8032700602239763,1,0.2,3.053837701116057e-05,1
2,12,13,3,0,0.29258362512448094,0.2749078143417903,0,0.0,9.303591638139375e-06,0
0,7,2,6,4,0.5441879909924545,0.7313721243341206,0,0.0,4.061901172816018e-06,0
2,11,22,3,1,0.24098120661648104,0.3569943599809377,1,0.3333333333333333,4.014991107126577e-06,0
0,7,7,5,4,0.17891873902806,0.33045657767411113,1,0.2,7.63701644044746e-06,0
1,1,20,10,5,0.30361302747381336,0.13988027030937175,2,0.2,7.917218726683904e-07,1
1,5,10,8,1,0.15514358378874182,0.2855536261808135,1,0.125,5.951810848173646e-06,0
0,11,7,6,4,0.2983683428883143,0.4743879270023613,2,0.3333333333333333,4.4719097771018435e-06,0
0,10,12,8,3,0.41444727611469123,0.39121907480989365,1,0.125,5.419235966326268e-06,0
1,6,13,2,5,0.43193886444648194,0.42890712569769196,3,1.5,7.442718663039788e-06,1
0,8,20,2,5,0.6450264735408758,0.6300286856835713,3,1.5,1.831206520502799e-05,1
0,18,7,7,2,0.1896922138466794,0.5001696265698842,1,0.14285714285714285,9.687500196510285e-06,0
0,15,15,3,4,0.2034774470851345,0.14487303516067535,1,0.3333333333333333,4.8986201869281196e-06,0
0,5,2,6,3,0.4412445265682621,0.5017946882059923,0,0.0,7.069971756129009e-07,0
1,5,11,6,5,0.5447087069269694,0.33877349342968965,1,0.16666666666666666,1.44480757121776e-05,1
0,9,8,7,0,0.29976850219139867,0.23539719399371034,0,0.0,5.686434969523833e-06,0
2,4,21,11,3,0.3221416612974932,0.8421282167469115,0,0.0,1.7153722755916327e-05,1
1,3,6,8,5,0.2763277532533688,0.38577492313655415,2,0.25,4.719292374330376e-06,1
1,9,18,3,2,0.10831894493042231,0.13129025732742844,1,0.3333333333333333,5.672225022987148e-06,0
0,11,4,6,1,0.05143777163781817,0.42597649997066894,3,0.5,1.685282804278342e-05,1
0,9,15,11,2,0.19023280049137795,0.26917995301623127,1,0.09090909090909091,6.618278128224538e-06,0
0,14,22,9,0,1.3993184198333009,1.1161429132597056,2,0.2222222222222222,2.5838888560505413e-05,0
2,4,12,2,4,0.0936512858449923,0.28039306768539113,0,0.0,6.911491033968389e-06,1
1,17,9,7,5,0.37543150938115516,0.3003107640669955,1,0.14285714285714285,5.149890047878704e-06,1
1,11,21,4,3,0.3888147105621961,0.47303767090151094,0,0.0,6.085688871852388e-06,0
1,17,10,6,2,0.5678274872722906,0.48426215183322124,1,0.16666666666666666,9.497277776199043e-06,0
0,15,13,11,5,0.6376631375996596,0.36566714498569913,1,0.09090909090909091,8.97383582625294e-06,0
1,11,16,6,1,0.3117705810204215,0.19968266488396674,1,0.16666666666666666,4.930835294308778e-06,0
0,11,14,5,0,0.13130555014483347,0.13567703542645176,2,0.4,5.8963347825315995e-06,0
1,11,2,4,3,0.7729902724127583,0.6261602602386268,0,0.0,9.348645221280094e-06,0
0,5,9,9,0,0.34590092217659124,0.5033981314847058,1,0.1111111111111111,1.437816227157262e-05,0
0,6,7,2,1,0.369795273851721,0.3038562460344106,1,0.5,7.844004656762179e-06,0
0,5,17,2,1,0.6298087758392052,0.6370465061611783,0,0.0,7.251801744012222e-06,0
1,14,20,7,2,0.05363922281000898,0.2517260015638387,0,0.0,4.975642666488709e-06,0
0,4,10,4,2,0.24947388936751444,1.1328923447373744,3,0.75,5.378483044514258e-06,0
0,15,5,8,5,1.0468437332136222,0.7151797355623477,0,0.0,1.2140432410836122e-05,0
0,8,9,11,5,0.15836661310793385,0.02284823785787044,1,0.09090909090909091,5.736432562432309e-06,0
1,19,14,8,2,0.30476323817725104,0.5505548997918625,1,0.125,1.4207391967761298e-05,1
2,5,21,9,1,0.17570303492652853,0.12574398826690958,2,0.2222222222222222,4.55024666262602e-06,1
0,9,8,3,2,0.11140141118838601,0.024199404668454987,3,1.0,3.4565073558978125e-06,0
2,6,19,6,4,1.0272425728942656,1.1332446114811328,2,0.3333333333333333,2.0365183283822068e-05,1
0,5,23,5,4,0.350772698694361,0.2998043090788664,0,0.0,1.1574686420577528e-05,0
3,6,15,7,4,0.5397752740165729,0.19966576350403414,0,0.0,1.1457449800999865e-05,1
1,9,12,9,0,0.2963008800028908,0.3344286016337649,3,0.3333333333333333,8.580484730511212e-06,1
1,16,16,4,3,0.3032646653355373,0.37816586360833043,1,0.25,8.13746516826778e-06,0
2,8,20,8,5,0.2696164947903552,0.4616030814491278,2,0.25,3.3747436262860842e-06,1
0,12,19,11,0,0.46027080906761153,0.6111488350986619,1,0.09090909090909091,1.590455750491539e-05,0
0,12,5,7,1,0.38289307979127346,0.5320499084338773,1,0.14285714285714285,4.771410536854411e-06,0
1,13,22,6,2,0.39223372708933046,0.3732305703698276,2,0.3333333333333333,1.3469452117016578e-05,1
2,2,17,10,2,0.47758092445136135,0.10107065751236845,1,0.1,3.657317784557885e-06,0
0,17,2,5,0,0.46831022811201933,0.29560024498784215,2,0.4,3.18640165878012e-07,0
0,19,23,7,2,0.5437392838545858,0.21944921862061104,0,0.0,1.286339863006502e-05,0
0,4,23,10,3,0.21870367077531022,0.27646967804240297,1,0.1,7.833526291413638e-07,0
0,5,18,8,4,0.03452893034480459,0.157350611577796,3,0.375,4.981892714551945e-06,1
1,13,13,10,3,0.04877195721536393,0.25201237870022436,0,0.0,2.2741431796825857e-06,0
1,14,8,7,3,0.6797573577374804,0.6046376561565825,1,0.14285714285714285,8.194986977920033e-06,0
1,3,5,6,3,0.13939099045095296,0.40059172337734616,1,0.16666666666666666,8.128760260921633e-06,0
0,18,12,6,4,0.15480335750396704,0.5328775682113007,1,0.16666666666666666,1.2147803064179928e-05,0
0,1,15,10,2,0.5029567385973179,0.17119453029524143,2,0.2,1.027140090378267e-05,0
2,4,19,9,3,0.256410999022107,0.024445487830327756,0,0.0,3.901966466763081e-06,0
3,9,4,10,5,0.42196976209361703,0.6657094121636565,1,0.1,1.1751731006068706e-05,1
0,12,23,6,3,0.3339599906899465,1.3722017811481835,0,0.0,1.0302453333845293e-05,0
0,6,10,7,1,0.30042939863772083,0.24422993860992043,0,0.0,3.374473275996129e-06,0
2,1,17,6,2,0.2958803587337134,0.2932701650018243,0,0.0,1.71702388741591e-05,0
0,3,18,10,2,0.5251675217595497,0.08836747987956159,2,0.2,5.337118729438936e-06,0
1,8,6,10,1,0.1108426762326286,0.20221940145140688,0,0.0,1.3998420412390218e-05,0
2,1,13,2,4,0.45077380826309005,0.41055496115408274,0,0.0,2.8969852347689276e-06,0
0,17,17,7,3,0.22871189310143855,0.3967676874903797,2,0.2857142857142857,6.5368254971621554e-06,0
1,18,8,5,4,0.5175209757731879,1.8677653866859412,1,0.2,3.9339372265166756e-05,1
1,12,20,6,3,0.2230398596708133,0.20421147879229953,1,0.16666666666666666,5.683173414304194e-06,0
0,13,13,11,0,0.17326497989614356,0.17757302380130488,2,0.18181818181818182,3.731879139088366e-06,0
2,2,7,9,4,0.28373316452164604,0.41961328519355984,1,0.1111111111111111,1.8041782107949248e-05,1
2,6,6,4,3,0.23519615883226452,0.3458390418496081,1,0.25,1.1065817084915468e-05,1
1,17,14,5,5,0.569247370167506,0.16393363479703027,1,0.2,8.54423591475309e-06,1
1,10,21,3,0,0.25799048220188125,0.2923024642036214,0,0.0,2.594459911732032e-06,0
0,10,15,5,1,0.1532257179589433,0.29314142220262435,2,0.4,4.618001622043495e-06,0
1,6,18,3,0,0.44989220589708534,0.8006554139656814,1,0.3333333333333333,8.569444043410323e-06,0
1,11,13,9,0,0.15325744775984693,0.21259640355832213,2,0.2222222222222222,1.0356335916312384e-05,0
0,12,16,5,4,0.23027136286071873,0.144880094776486,3,0.6,8.934470459820684e-06,1
4,2,2,2,3,0.24455977300054033,0.6103535927665997,0,0.0,3.391805640081848e-06,1
0,14,9,8,0,0.4522866525689626,0.4273506199797827,0,0.0,4.72413561454952e-06,0
2,18,2,4,0,0.9141528236472283,1.4235397517497494,3,0.75,2.9641764022738467e-05,1
2,8,7,8,0,0.11113615350970242,0.3759829834352426,1,0.125,1.5927688600985618e-05,1
0,9,24,6,2,0.08164622887980219,0.3874781611971172,0,0.0,7.790091967009701e-06,0
0,14,16,6,4,0.2613975719758323,0.14036433686427782,2,0.3333333333333333,1.0978884943679144e-05,1
0,7,8,2,1,0.5182413055088423,0.6611041381029544,1,0.5,1.2400240087563554e-05,0
1,18,22,7,0,0.12259342974200656,0.3612790024891552,3,0.42857142857142855,5.269082431092132e-06,1
2,6,17,6,4,0.24190424875474198,0.3455031326322662,1,0.16666666666666666,1.3354593182284814e-05,1
2,18,18,9,0,0.2832674676398147,0.25267212442319154,1,0.1111111111111111,8.778551708229552e-06,0
1,6,13,10,3,0.37427813924740133,0.5852792314933927,0,0.0,2.6290680795685472e-05,0
1,17,2,3,3,0.3057805958620149,0.2972568083875039,1,0.3333333333333333,1.0498280095254911e-06,0
2,4,21,3,1,0.7033652323130049,0.297329643820422,2,0.6666666666666666,1.0707164512878473e-05,0
2,11,12,11,5,0.284225130710468,0.14178115292125898,1,0.09090909090909091,4.8321611481686715e-06,1
2,16,2,3,5,0.8043850880496144,1.2338285015083146,1,0.3333333333333333,1.7831986927589223e-05,1
1,3,3,8,3,0.2912099643149932,0.49773045559767254,0,0.0,1.4428803733567827e-05,0
0,9,2,9,0,0.15316572267156617,0.1678234201871387,0,0.0,1.1226178690064416e-05,0
1,8,23,7,3,0.4256294381521015,0.8076882046463245,2,0.2857142857142857,1.9937447999779834e-05,1
0,1,13,11,5,0.24274853168335409,0.47008186958868026,0,0.0,4.221482549710563e-06,0
0,7,17,11,0,0.5405892247361449,0.20629814354554232,1,0.09090909090909091,5.807069865648195e-06,0
0,17,3,9,3,0.1213221166290465,0.3507110341890148,1,0.1111111111111111,2.898048141490596e-06,0
2,15,3,11,3,0.21914721330197773,0.3167472426716864,1,0.09090909090909091,4.2496401751174315e-06,1
1,10,20,9,5,0.5614696081086076,0.3833536387671393,1,0.1111111111111111,4.028619844625628e-06,1
2,17,2,6,0,0.49236052200422,0.6250062951496831,1,0.16666666666666666,2.0184284247292718e-05,1
1,12,22,11,3,0.5773990798895925,0.2757265092642139,1,0.09090909090909091,3.586482836957865e-06,0
0,16,16,11,0,0.259521625205206,0.25576377288723107,0,0.0,2.143538297910221e-06,0
0,16,11,2,2,0.3136473472807257,0.378373274304758,0,0.0,4.301287962614534e-06,0
1,4,10,2,1,0.5589924892664976,0.32722130561351576,1,0.5,1.224774539880829e-05,0
0,6,21,10,1,0.14310668316173136,0.29798891331888705,1,0.1,1.683394185676829e-05,0
1,8,11,11,5,0.6857565188851469,0.31646437572284025,2,0.18181818181818182,1.1484855506973465e-05,1
1,14,23,8,4,0.19387858873715522,0.38034074965537046,2,0.25,1.1641596275812611e-05,1
2,9,19,10,5,0.13707540182573152,0.22258248354965962,2,0.2,4.379274364217263e-06,1
0,18,7,11,0,0.7670934803849372,1.0710669203928296,2,0.18181818181818182,1.5565804768278545e-05,0
2,11,12,5,1,0.4075414165716881,0.25597356150361505,0,0.0,4.893451958111891e-06,0
1,5,7,11,2,0.36374848530995135,0.18036175343539845,1,0.09090909090909091,1.2209541207403038e-05,1
0,1,11,6,3,0.23968393304053962,0.4039809369266183,0,0.0,2.1209814734077076e-06,0
1,4,15,6,3,0.186333978099502,0.6364055578155738,3,0.5,2.3280633814413738e-05,1
1,2,23,9,3,0.24947557254093788,0.6334343730871571,2,0.2222222222222222,9.944182293713217e-06,1
1,18,4,4,4,0.3501802754344565,0.5463794507220139,3,0.75,1.1754689880952235e-05,1
1,13,12,6,4,0.0959411717574823,0.39652202344528636,0,0.0,1.0109973311030535e-05,0
0,16,3,5,3,0.1863536312842573,0.31104282781409376,4,0.8,6.774056464829705e-06,1
1,9,20,9,4,0.2636534611898693,0.1617708742578364,0,0.0,1.0694030388298875e-05,0
1,8,23,8,1,0.3502329268654356,0.550892873204382,1,0.125,4.054137402669232e-06,0
0,4,17,8,3,0.47570894359920796,0.4839571848775885,2,0.25,1.0942053976920298e-06,0
2,7,3,3,4,0.5729655495184746,0.5265787813639853,1,0.3333333333333333,1.890799191696378e-05,1
0,2,13,2,2,0.2821272492145708,0.36917160714370656,0,0.0,2.158208295661512e-06,0
0,10,19,5,5,0.2254107859462286,0.49738600274722594,2,0.4,1.807378022525596e-05,1
1,3,12,9,1,0.407561144099018,0.19497589310067734,5,0.5555555555555556,9.688140755831167e-06,1
3,5,10,5,4,0.4431491307479005,0.1978829484719473,1,0.2,3.1965142463674565e-06,1
1,6,16,4,1,0.21959788220643492,0.22229140370008849,0,0.0,4.21436791525498e-06,0
2,5,10,10,1,0.3279931281224248,0.2913334263694214,3,0.3,1.0092308251392669e-05,1
1,13,18,7,1,1.3250416310292816,1.6611374802429986,1,0.14285714285714285,3.368790321825211e-05,0
1,7,10,9,1,0.3661038480804293,0.41617802693030537,2,0.2222222222222222,3.652941059515349e-06,0
0,16,9,11,5,0.6598963817913452,0.3488520860268081,4,0.36363636363636365,7.779058938899947e-06,1
1,16,4,3,2,0.14384941858512026,0.3863973597932992,1,0.3333333333333333,1.5854500106730056e-06,0
2,12,12,8,0,0.2845488078368431,0.11996898392240553,0,0.0,9.21661708304424e-06,0
0,13,6,3,5,0.11037076921403584,0.30911825200610843,0,0.0,2.3859090140296655e-05,0
0,2,24,3,1,0.39350804947984125,0.34454514112335327,1,0.3333333333333333,2.2258894670999975e-06,0
0,1,21,2,3,1.0849490328830522,0.4815887687459477,0,0.0,2.495532989627456e-05,0
0,5,3,7,0,0.341602048466218,0.19059696191024472,0,0.0,3.7865149929767423e-06,0
0,2,6,4,0,0.14103915460477065,0.393322986458495,1,0.25,1.6993377143467295e-06,0
2,10,18,5,5,0.342030347765355,0.494087070558068,1,0.2,7.002447832053706e-06,1
3,6,11,3,1,0.4347165611226391,0.4935035021743787,1,0.3333333333333333,5.282598053655776e-06,1
1,14,9,11,0,0.36256835128704784,0.26937348701959035,1,0.09090909090909091,1.3292941631866753e-05,0
0,19,21,9,5,0.2385794665196979,0.31614936413714934,3,0.3333333333333333,9.67099355128924e-06,1
0,18,8,2,4,0.4517016544313337,0.26073596797931775,1,0.5,7.930790848337742e-06,0
1,13,10,2,2,0.36979809801479435,0.620768279702612,1,0.5,1.3548205107055206e-05,0
0,17,18,2,1,0.6242878831047524,0.28003953269571397,0,0.0,8.751564811276533e-07,0
0,2,4,9,2,0.0897320541538213,0.02432809754963394,1,0.1111111111111111,7.273417226883968e-06,0
1,4,19,4,2,0.4110427062252888,0.32035684441846085,3,0.75,1.1546155786342369e-05,1
4,18,8,11,1,0.6281138116397537,0.8191240716319634,2,0.18181818181818182,1.9271997242583107e-05,1
3,15,21,11,3,0.31173888472288536,0.24293732897588852,2,0.18181818181818182,3.727665758544854e-06,1
0,16,4,6,0,0.3550416585911028,0.37211319357713696,1,0.16666666666666666,1.622798625332644e-05,0
1,17,15,10,1,0.1686022825485388,0.2832664887514958,0,0.0,1.2908485368016018e-05,0
1,10,11,3,1,0.2848036711419545,0.3865543296294952,1,0.3333333333333333,3.0472360700495235e-06,0
0,4,17,10,2,0.14348291998931526,0.34393683776726436,2,0.2,1.3778896753456152e-06,0
1,18,23,7,3,0.4589801179899853,0.18803373872391252,1,0.14285714285714285,7.152647770798543e-06,0
1,7,11,5,3,0.25461717207587087,0.16885928271301076,3,0.6,4.344813964328438e-06,1
0,4,10,7,0,0.6765633669567881,0.7204082269162478,1,0.14285714285714285,2.1879828467374606e-05,0
1,1,17,9,3,0.2494565681391004,0.2493403006488267,0,0.0,5.594260998320489e-06,0
1,1,13,6,2,0.537778054913193,0.11458722206375435,0,0.0,4.22440708518278e-06,0
0,10,8,4,1,0.1720139715846429,0.1343280639165224,0,0.0,3.5905081873697755e-06,0
0,12,21,2,5,0.49399151261398755,0.42621079909824594,0,0.0,5.74497638303575e-06,0
1,5,4,2,3,0.8378771120173587,0.6468909369036527,0,0.0,1.904240592361399e-05,0
0,12,7,5,1,0.480191134898111,0.40234528987039475,0,0.0,5.338484916960828e-06,0
1,7,11,5,2,0.25135619094468414,0.19935440152830758,2,0.4,2.1612701459211555e-06,0
0,19,10,10,1,0.2869617341731648,0.12264226379725941,4,0.4,3.688469589347575e-06,1
2,13,18,9,1,0.26989936060308917,0.14011365658367447,0,0.0,8.14409513869858e-06,0
0,1,22,3,3,0.22165430613048717,0.2959648401556759,1,0.3333333333333333,1.011111909486876e-05,0
0,1,18,2,2,0.5283056554199924,0.3966143431680776,0,0.0,6.004358989866761e-06,0
0,10,9,2,0,0.21346221567322426,0.23494241901243326,6,3.0,1.761941134509814e-05,1
0,9,23,8,1,0.19772604629276083,0.1696000677881061,2,0.25,2.5849140078656204e-06,0
0,13,5,5,4,0.4870113373186917,0.5582941138932902,1,0.2,8.273870535756728e-06,0
2,10,7,7,5,0.4481796433312574,0.21745726560611447,0,0.0,4.793546301779612e-06,1
3,8,2,11,0,0.17883369532393503,0.4890119408114666,0,0.0,1.8869468813880873e-05,1
4,3,18,2,3,0.3409919948384436,0.03412791682127104,1,0.5,1.635985555383646e-05,1
1,10,16,2,3,0.54450562648042,0.06523735346251243,0,0.0,4.95014533924214e-06,0
2,3,24,5,4,0.4193292959985955,0.31582852871805744,0,0.0,5.100646282690459e-06,0
1,8,19,10,5,0.861013998768233,0.6490273787168819,1,0.1,1.4031328519843461e-05,1
0,5,15,7,1,0.32256879516315373,0.23955114054311336,4,0.5714285714285714,7.364760305342225e-06,1
0,4,19,10,3,0.31064875103959766,0.2721490892728688,0,0.0,7.163187187105558e-06,0
0,13,11,11,1,0.3082106753809513,0.29309496280339853,1,0.09090909090909091,1.576823142923532e-05,0
0,18,5,11,0,0.4989977463881204,0.03291865668480365,2,0.18181818181818182,9.36267376224821e-06,0
